,cloudvendor,CA1xp,CA1yp,CA1xn,CA1yn,CA2xp,CA2yp,CA2xn,CA2yn,CA3xp,CA3yp,CA3xn,CA3yn,CA4xp,CA4yp,CA4xn,CA4yn,CA5xp,CA5yp,CA5xn,CA5yn,CA6xp,CA6yp,CA6xn,CA6yn,CA7xp,CA7yp,CA7xn,CA7yn,CA8xp,CA8yp,CA8xn,CA8yn,CA9xp,CA9yp,CA9xn,CA9yn
0,B1,0.244,0.9585994384929766,0.305,0.903657733546032,0.27449999999999997,0.9256831611860332,0.366,0.9640195568933231,0.1154,0.9926511502863937,0.1731,0.9163424136114598,0.8912,0.8411286868047039,1.1139999999999999,0.9370720582889839,0.3356,0.8931332625462343,0.4195,0.9199667363504177,0.4776,0.9809788621742306,0.597,0.888061997486944,0.616,0.9747394739171124,0.77,0.858031171190742,0.714,0.8958437871665907,0.8925,0.9591399268918755,0.1248,0.9669012957027849,0.156,0.9610618336195446
1,B2,0.244,0.9252873822349559,0.305,0.9683268465841925,0.4575,0.8900511381270799,0.366,0.9451789240822989,0.0577,0.9252177632122371,0.2885,0.9966953183691706,0.8912,0.6824560908259024,1.1139999999999999,0.9206521621076627,0.3356,0.8426744907535445,0.4195,0.9834878119476117,0.4776,0.7837992368068931,0.597,0.9722471409318312,0.616,0.7611830938616291,0.77,0.9546884860909255,0.714,0.7127418988491596,0.8925,0.9499449438275829,0.1248,0.9462153875292884,0.156,0.9918785777595563
2,B3,0.183,0.9310501262342683,0.244,0.9091915211672874,0.0915,0.9152720473373317,0.27449999999999997,0.9786623452743654,0.2308,0.9718819837690036,0.0577,0.9812238257224324,0.8912,0.7863456754735685,0.6684,0.8198383756832753,0.25170000000000003,0.9039209941301358,0.4195,0.9088288045596151,0.3582,0.8390547563445467,0.4776,0.8908942613038541,0.46199999999999997,0.9747394739171124,0.616,0.8219820558131978,0.5355,0.7568610294346558,0.714,0.8671583966633549,0.09359999999999999,0.9990059781769299,0.1248,0.9631328219674538
3,B4,0.244,0.9211139809874381,0.305,0.9784778084252271,0.4575,0.9236922718395552,0.183,0.983095358014036,0.2885,0.9690580536262183,0.1154,0.9966953183691706,0.8912,0.9464531238908442,1.1139999999999999,0.9021797490939776,0.3356,0.8479302756769858,0.4195,0.9824758707951884,0.4776,0.8552731405714314,0.597,0.9566621276179471,0.616,0.8126544083506054,0.77,0.9423372797503048,0.714,0.7915865964546294,0.8925,0.9334753215504664,0.1248,0.9999540149873415,0.156,0.9906495113590468
4,B5,0.061,0.937968277734261,0.183,0.9142509030774434,0.366,0.9498664520954209,0.27449999999999997,0.9919318681425272,0.1731,0.9310657787433276,0.1731,0.8804168746465814,0.2228,0.9464531238908442,0.8912,0.9370720582889839,0.25170000000000003,0.9013535883405804,0.4195,0.9039209941301358,0.2388,0.9809788621742306,0.3582,0.8626017223221891,0.154,0.7679129044525181,0.616,0.8430457565874823,0.5355,0.7862718775576507,0.714,0.8017482905606491,0.09359999999999999,0.9999540149873415,0.1248,0.9987262544763366
5,B6,0.183,0.9232369755552624,0.244,0.9346076904998865,0.183,0.9841732455032669,0.0915,0.887094291243408,0.1154,0.9057935494218191,0.1154,0.989990244009166,0.6684,0.7276307841714128,0.8912,0.7811328565865404,0.25170000000000003,0.8959657738663852,0.3356,0.8871554465626653,0.3582,0.8626017223221891,0.4776,0.8093112943085115,0.616,0.8430457565874823,0.77,0.7679129044525181,0.5355,0.7631720357757338,0.714,0.9591399268918755,0.09359999999999999,0.9999540149873415,0.1248,0.9987262544763366
6,B7,0.244,0.952458283806216,0.305,0.9232369755552624,0.4575,0.9640195568933231,0.366,0.9919318681425272,0.1731,0.9736927800205333,0.1731,0.9537338994329739,0.8912,0.7964237401155762,1.1139999999999999,0.7647202939758688,0.25170000000000003,0.9111781976611586,0.3356,0.8959657738663852,0.4776,0.9090621467058497,0.597,0.8552731405714314,0.46199999999999997,0.7863606471037521,0.616,0.8650156193699479,0.714,0.8565446332774137,0.8925,0.8204549475613189,0.09359999999999999,0.9990059781769299,0.1248,0.9710491573883264
